station,north, east, zone, longitude, latitude
S1,2796100,555200,17,-80.4517312,25.2803149
S2,2796100,550000,17,-80.5033781,25.2804978
S3,2796100,545000,17,-80.5530390,25.2806566
S4,2796100,540000,17,-80.6027003,25.2807986
S5,2796100,535000,17,-80.6523620,25.2809240
S6,2796100,530000,17,-80.7020240,25.2810326
S7,2796100,525000,17,-80.7516862,25.2811246
S8,2796100,520000,17,-80.8013487,25.2811998
S9,2799000,518000,17,-80.8211753,25.3074142
S10,2803000,513000,17,-80.8708104,25.3435887
S11,2803000,508000,17,-80.9204986,25.3436239
S12,2806000,508000,17,-80.9204809,25.3707159
S13,2806000,513000,17,-80.8707816,25.3706806
S14,2803000,518000,17,-80.8211223,25.3435368
S15,2794000,520000,17,-80.8013796,25.2622353
S16,2792500,525000,17,-80.7517524,25.2486141
S17,2790000,530000,17,-80.7021583,25.2259456
S18,2791500,535000,17,-80.6524802,25.2393832
S19,2794500,540000,17,-80.6027473,25.2663498
S20,2795000,545000,17,-80.5530754,25.2707230
S21,2795500,550000,17,-80.5034001,25.2750795
S22,2795700,555200,17,-80.4517474,25.2767028
