Year,month,region1,region2,region3,region4,region5,region6,region7,region8,region9,region10,region11,region12
2000,1,0,5774550,7707350,2881480,7034520,3508820,9363200,278070,841750,276480,1676920,1661520
2000,2,0,3641760,4855450,1827280,3978540,1988000,5308160,382850,1154400,384000,2309720,2318400
2000,3,0,2107500,2815800,1054200,57660,29820,70400,245830,745550,245760,1487080,1468320
2000,4,0,2149650,2869950,1071770,144150,79520,211200,8060,24050,7680,63280,38640
2000,5,0,227610,306850,105420,0,0,0,24180,72150,23040,158200,154560
2000,6,0,5521650,7364400,2758490,3459600,1739500,4632320,0,0,0,0,0
2000,7,0,7823040,10432900,3918110,807240,397600,1056000,858390,2573350,860160,5157320,5139120
2000,8,0,13184520,17580700,6588750,5506530,2753380,7335680,132990,384800,130560,791000,811440
2000,9,1337240,13117080,17490450,6553610,5621850,2803080,7490560,1124370,3367000,1121280,6739320,6762000
2000,10,25394320,10427910,13898500,5218290,7755270,3876600,10348800,1164670,3487250,1159680,6992440,6993840
2000,11,0,1584840,2111850,790650,605430,298200,788480,1563640,4689750,1559040,9365440,9389520
2000,12,0,2571150,3429500,1282610,57660,29820,70400,100750,288600,99840,601160,579600
2001,1,0,59010,72200,35140,0,0,0,8060,24050,7680,63280,38640
2001,2,0,0,0,0,0,0,0,0,0,0,0,0
2001,3,0,0,0,0,0,0,0,0,0,0,0,0
2001,4,0,75870,108300,35140,0,0,0,0,0,0,0,0
2001,5,0,404640,541500,193270,0,9940,14080,0,0,0,0,0
2001,6,0,3388860,4512500,1686720,2998320,1500940,4012800,4030,0,0,0,0
2001,7,0,7544850,10053850,3777550,1124370,566580,1506560,745550,2236650,744960,4461240,4482240
2001,8,5176840,16430070,21912700,8222760,13405950,6699560,17867520,221650,649350,222720,1328880,1313760
2001,9,2528840,16067580,21425350,8029490,12339240,6172740,16473600,3143400,9427600,3141120,18857440,18856320
2001,10,14140320,11726130,15631300,5868380,7466970,3737440,9968640,2841150,8513700,2841600,17022320,17040240
2001,11,0,7806180,10414850,3900540,3373110,1689800,4505600,1503190,4521400,1505280,9017400,9041760
2001,12,0,5563800,7418550,2776060,1297350,646100,1731840,564200,1683500,560640,3385480,3361680
2002,1,0,3582750,4783250,1792140,691920,347900,915200,217620,649350,215040,1297240,1313760
2002,2,0,868290,1155200,439250,28830,19880,42240,112840,336700,115200,696080,695520
2002,3,0,185460,252700,87850,0,9940,14080,4030,24050,7680,31640,38640
2002,4,0,75870,108300,35140,0,0,0,4030,0,0,0,0
2002,5,0,2638590,3519750,1317750,3257790,1620220,4322560,0,0,0,0,0
2002,6,8380920,16312050,21750250,8152480,13463610,6739320,17966080,810030,2429050,806400,4872560,4868640
2002,7,8539800,15705090,20938000,7853790,13146480,6570340,17515520,3163550,9499750,3164160,18984000,18972240
2002,8,0,8421570,11227100,4216800,2133420,1073520,2858240,2917720,8754200,2918400,17496920,17503920
2002,9,0,7620720,10162150,3812690,1989270,994000,2647040,358670,1082250,353280,2151520,2125200
2002,10,0,2722890,3628050,1352890,980220,497000,1309440,330460,986050,330240,1993320,1970640
2002,11,0,640680,848350,316260,28830,19880,42240,165230,505050,161280,980840,1004640
2002,12,0,2984220,3989050,1493450,288300,149100,394240,4030,24050,7680,31640,38640
