Date, KeyWestMSL_NAVD,VacaKeyMSL_NAVD, VirginiaKeyMSL_NAVD,MeanMSL_NAVD,Anomaly_m_2008_2015_MSL
1999-09-15,-0.056,-0.026,-0.032,-0.038,0.110
1999-10-15,-0.08,-0.075,-0.059,-0.071,0.077
1999-11-15,-0.126,-0.093,-0.122,-0.114,0.034
1999-12-15,-0.251,-0.224,-0.243,-0.239,-0.091
2000-01-15,-0.304,-0.272,-0.296,-0.291,-0.143
2000-02-15,-0.325,-0.293,-0.323,-0.314,-0.166
2000-03-15,-0.33,-0.283,-0.31,-0.308,-0.160
2000-04-15,-0.301,-0.257,-0.298,-0.285,-0.137
2000-05-15,-0.307,-0.276,-0.309,-0.297,-0.149
2000-06-15,-0.224,-0.218,-0.251,-0.231,-0.083
2000-07-15,-0.175,-0.14,-0.193,-0.169,-0.021
2000-08-15,-0.177,-0.144,-0.202,-0.174,-0.026
2000-09-15,-0.138,-0.107,-0.119,-0.121,0.027
2000-10-15,-0.082,-0.032,-0.028,-0.047,0.101
2000-11-15,-0.212,-0.158,-0.16,-0.177,-0.029
2000-12-15,-0.266,-0.213,-0.244,-0.241,-0.093
2001-01-15,-0.389,-0.325,-0.354,-0.356,-0.208
2001-02-15,-0.413,-0.376,-0.397,-0.395,-0.247
2001-03-15,-0.379,-0.305,-0.35,-0.345,-0.197
2001-04-15,-0.37,-0.33,-0.347,-0.349,-0.201
2001-05-15,-0.247,-0.22,-0.228,-0.232,-0.084
2001-06-15,-0.371,-0.332,-0.357,-0.353,-0.205
2001-07-15,-0.28,-0.24,-0.307,-0.276,-0.128
2001-08-15,-0.223,-0.191,-0.284,-0.233,-0.085
2001-09-15,-0.192,-0.148,-0.185,-0.175,-0.027
2001-10-15,-0.095,-0.078,-0.067,-0.080,0.068
2001-11-15,-0.122,-0.091,-0.091,-0.101,0.047
2001-12-15,-0.235,-0.201,-0.229,-0.222,-0.074
2002-01-15,-0.361,-0.314,-0.398,-0.358,-0.210
2002-02-15,-0.306,-0.256,-0.292,-0.285,-0.137
2002-03-15,-0.334,-0.299,-0.338,-0.324,-0.176
2002-04-15,-0.276,-0.256,-0.29,-0.274,-0.126
2002-05-15,-0.261,-0.238,-0.264,-0.254,-0.106
2002-06-15,-0.199,-0.178,-0.209,-0.195,-0.047
2002-07-15,-0.26,-0.249,-0.288,-0.266,-0.118
2002-08-15,-0.172,-0.151,-0.175,-0.166,-0.018
2002-09-15,-0.122,-0.105,-0.119,-0.115,0.033
2002-10-15,-0.095,-0.071,-0.086,-0.084,0.064
2002-11-15,-0.209,-0.156,-0.227,-0.197,-0.049
2002-12-15,-0.302,-0.262,-0.288,-0.284,-0.136
2003-01-15,-0.382,-0.31,-0.363,-0.352,-0.204
2003-02-15,-0.426,-0.374,-0.421,-0.407,-0.259
2003-03-15,-0.338,-0.286,-0.319,-0.314,-0.166
2003-04-15,-0.263,-0.217,-0.235,-0.238,-0.090
2003-05-15,-0.292,-0.242,-0.3,-0.278,-0.130
2003-06-15,-0.299,-0.266,-0.332,-0.299,-0.151
2003-07-15,-0.275,-0.259,-0.327,-0.287,-0.139
2003-08-15,-0.216,-0.187,-0.258,-0.220,-0.072
2003-09-15,-0.13,-0.109,-0.167,-0.135,0.013
2003-10-15,-0.15,-0.106,-0.123,-0.126,0.022
2003-11-15,-0.157,-0.12,-0.138,-0.138,0.010
2003-12-15,-0.257,-0.22,-0.271,-0.249,-0.101
2004-01-15,-0.287,-0.257,-0.308,-0.284,-0.136
2004-02-15,-0.302,-0.272,-0.302,-0.292,-0.144
2004-03-15,-0.277,-0.252,-0.282,-0.270,-0.122
2004-04-15,-0.32,-0.296,-0.313,-0.310,-0.162
2004-05-15,-0.306,-0.301,-0.32,-0.309,-0.161
2004-06-15,-0.286,-0.252,-0.319,-0.286,-0.138
2004-07-15,-0.316,-0.26,-0.308,-0.295,-0.147
2004-08-15,-0.256,-0.239,-0.298,-0.264,-0.116
2004-09-15,-0.157,-0.124,-0.155,-0.145,0.003
2004-10-15,-0.125,-0.104,-0.13,-0.120,0.028
2004-11-15,-0.154,-0.124,-0.166,-0.148,0.000
2004-12-15,-0.318,-0.278,-0.308,-0.301,-0.153
2005-01-15,-0.269,-0.24,-0.271,-0.260,-0.112
2005-02-15,-0.247,-0.208,-0.234,-0.230,-0.082
2005-03-15,-0.329,-0.309,-0.323,-0.320,-0.172
2005-04-15,-0.273,-0.242,-0.255,-0.257,-0.109
2005-05-15,-0.245,-0.22,-0.236,-0.234,-0.086
2005-06-15,-0.224,-0.212,-0.232,-0.223,-0.075
2005-07-15,-0.22,-0.217,-0.27,-0.236,-0.088
2005-08-15,-0.205,-0.177,-0.234,-0.205,-0.057
2005-09-15,-0.111,-0.088,-0.062,-0.087,0.061
2005-10-15,-0.09,-0.064,-0.065,-0.073,0.075
2005-11-15,-0.228,-0.189,-0.226,-0.214,-0.066
2005-12-15,-0.338,-0.284,-0.322,-0.315,-0.167
2006-01-15,-0.351,-0.309,-0.356,-0.339,-0.191
2006-02-15,-0.389,-0.333,-0.368,-0.363,-0.215
2006-03-15,-0.313,-0.272,-0.288,-0.291,-0.143
2006-04-15,-0.252,-0.224,-0.247,-0.241,-0.093
2006-05-15,-0.213,-0.182,-0.214,-0.203,-0.055
2006-06-15,-0.278,-0.284,-0.327,-0.296,-0.148
2006-07-15,-0.308,-0.288,-0.293,-0.296,-0.148
2006-08-15,-0.204,-0.187,-0.249,-0.213,-0.065
2006-09-15,-0.164,-0.147,-0.169,-0.160,-0.012
2006-10-15,-0.095,-0.081,-0.083,-0.086,0.062
2006-11-15,-0.182,-0.1,-0.166,-0.149,-0.001
2006-12-15,-0.247,-0.15,-0.258,-0.218,-0.070
2007-01-15,-0.276,-0.2,-0.289,-0.255,-0.107
2007-02-15,-0.354,-0.26,-0.324,-0.313,-0.165
2007-03-15,-0.298,-0.285,-0.296,-0.293,-0.145
2007-04-15,-0.289,-0.266,-0.271,-0.275,-0.127
2007-05-15,-0.126,-0.13,-0.113,-0.123,0.025
2007-06-15,-0.2,-0.171,-0.189,-0.187,-0.039
2007-07-15,-0.226,-0.2,-0.219,-0.215,-0.067
2007-08-15,-0.204,-0.186,-0.217,-0.202,-0.054
2007-09-15,-0.117,-0.09,-0.107,-0.105,0.043
2007-10-15,-0.059,-0.048,-0.047,-0.051,0.097
2007-11-15,-0.151,-0.132,-0.139,-0.141,0.007
2007-12-15,-0.305,-0.279,-0.286,-0.290,-0.142
2008-01-15,-0.276,-0.248,-0.263,-0.262,-0.114
2008-02-15,-0.365,-0.334,-0.39,-0.363,-0.215
2008-03-15,-0.382,-0.368,-0.37,-0.373,-0.225
2008-04-15,-0.234,-0.209,-0.204,-0.216,-0.068
2008-05-15,-0.246,-0.217,-0.254,-0.239,-0.091
2008-06-15,-0.271,-0.247,-0.304,-0.274,-0.126
2008-07-15,-0.161,-0.139,-0.197,-0.166,-0.018
2008-08-15,-0.131,-0.107,-0.182,-0.140,0.008
2008-09-15,0.024,0.032,0.028,0.028,0.176
2008-10-15,-0.054,-0.036,-0.038,-0.043,0.105
2008-11-15,-0.156,-0.11,-0.135,-0.134,0.014
2008-12-15,-0.31,-0.287,-0.336,-0.311,-0.163
2009-01-15,-0.418,-0.366,-0.414,-0.399,-0.251
2009-02-15,-0.412,-0.366,-0.394,-0.391,-0.243
2009-03-15,-0.287,-0.268,-0.286,-0.280,-0.132
2009-04-15,-0.304,-0.3,-0.335,-0.313,-0.165
2009-05-15,-0.25,-0.238,-0.264,-0.251,-0.103
2009-06-15,-0.226,-0.179,-0.19,-0.198,-0.050
2009-07-15,-0.276,-0.238,-0.279,-0.264,-0.116
2009-08-15,-0.152,-0.13,-0.214,-0.165,-0.017
2009-09-15,-0.015,0.003,-0.031,-0.014,0.134
2009-10-15,-0.068,-0.055,-0.082,-0.068,0.080
2009-11-15,-0.079,-0.041,-0.034,-0.051,0.097
2009-12-15,-0.171,-0.134,-0.158,-0.154,-0.006
2010-01-15,-0.28,-0.238,-0.28,-0.266,-0.118
2010-02-15,-0.281,-0.222,-0.245,-0.249,-0.101
2010-03-15,-0.35,-0.24,-0.305,-0.298,-0.150
2010-04-15,-0.304,-0.25,-0.291,-0.282,-0.134
2010-05-15,-0.282,-0.255,-0.27,-0.269,-0.121
2010-06-15,-0.221,-0.196,-0.242,-0.220,-0.072
2010-07-15,-0.222,-0.186,-0.241,-0.216,-0.068
2010-08-15,-0.17,-0.144,-0.233,-0.182,-0.034
2010-09-15,-0.047,-0.023,-0.094,-0.055,0.093
2010-10-15,-0.12,-0.079,-0.13,-0.110,0.038
2010-11-15,-0.165,-0.137,-0.165,-0.156,-0.008
2010-12-15,-0.279,-0.226,-0.27,-0.258,-0.110
2011-01-15,-0.36,-0.31,-0.379,-0.350,-0.202
2011-02-15,-0.406,-0.36,-0.387,-0.384,-0.236
2011-03-15,-0.358,-0.316,-0.339,-0.338,-0.190
2011-04-15,-0.318,-0.295,-0.323,-0.312,-0.164
2011-05-15,-0.279,-0.253,-0.281,-0.271,-0.123
2011-06-15,-0.205,-0.188,-0.236,-0.210,-0.062
2011-07-15,-0.197,-0.164,-0.243,-0.201,-0.053
2011-08-15,-0.135,-0.095,-0.155,-0.128,0.020
2011-09-15,-0.112,-0.088,-0.135,-0.112,0.036
2011-10-15,-0.098,-0.081,-0.092,-0.090,0.058
2011-11-15,-0.117,-0.089,-0.092,-0.099,0.049
2011-12-15,-0.207,-0.176,-0.215,-0.199,-0.051
2012-01-15,-0.307,-0.2,-0.339,-0.282,-0.134
2012-02-15,-0.24,-0.221,-0.223,-0.228,-0.080
2012-03-15,-0.231,-0.23,-0.258,-0.240,-0.092
2012-04-15,-0.226,-0.211,-0.223,-0.220,-0.072
2012-05-15,-0.191,-0.168,-0.181,-0.180,-0.032
2012-06-15,-0.152,-0.121,-0.132,-0.135,0.013
2012-07-15,-0.197,-0.168,-0.205,-0.190,-0.042
2012-08-15,-0.173,-0.147,-0.182,-0.167,-0.019
2012-09-15,-0.208,-0.166,-0.174,-0.183,-0.035
2012-10-15,-0.119,-0.056,-0.074,-0.083,0.065
2012-11-15,-0.045,-0.007,-0.003,-0.018,0.130
2012-12-15,-0.159,-0.134,-0.171,-0.155,-0.007
2013-01-15,-0.229,-0.214,-0.236,-0.226,-0.078
2013-02-15,-0.249,-0.223,-0.254,-0.242,-0.094
2013-03-15,-0.233,-0.187,-0.195,-0.205,-0.057
2013-04-15,-0.257,-0.243,-0.252,-0.251,-0.103
2013-05-15,-0.211,-0.182,-0.183,-0.192,-0.044
2013-06-15,-0.229,-0.226,-0.27,-0.242,-0.094
2013-07-15,-0.172,-0.157,-0.189,-0.173,-0.025
2013-08-15,-0.159,-0.147,-0.2,-0.169,-0.021
2013-09-15,-0.09,-0.074,-0.096,-0.087,0.061
2013-10-15,-0.047,-0.019,-0.019,-0.028,0.120
2013-11-15,-0.077,-0.044,-0.061,-0.061,0.087
2013-12-15,-0.173,-0.146,-0.181,-0.167,-0.019
2014-01-15,-0.222,-0.178,-0.203,-0.201,-0.053
2014-02-15,-0.215,-0.174,-0.179,-0.189,-0.041
2014-03-15,-0.256,-0.207,-0.212,-0.225,-0.077
2014-04-15,-0.24,-0.207,-0.191,-0.213,-0.065
2014-05-15,-0.171,-0.168,-0.176,-0.172,-0.024
2014-06-15,-0.232,-0.206,-0.228,-0.222,-0.074
2014-07-15,-0.191,-0.156,-0.221,-0.189,-0.041
2014-08-15,-0.111,-0.088,-0.12,-0.106,0.042
2014-09-15,-0.079,-0.055,-0.092,-0.075,0.073
2014-10-15,-0.059,-0.03,-0.061,-0.050,0.098
2014-11-15,-0.083,-0.045,-0.056,-0.061,0.087
2014-12-15,-0.12,-0.064,-0.093,-0.092,0.056
2015-01-15,-0.17,-0.165,-0.182,-0.172,-0.024
2015-02-15,-0.209,-0.164,-0.168,-0.180,-0.032
2015-03-15,-0.274,-0.242,-0.264,-0.260,-0.112
2015-04-15,-0.218,-0.192,-0.232,-0.214,-0.066
2015-05-15,-0.177,-0.156,-0.204,-0.179,-0.031
2015-06-15,-0.223,-0.191,-0.277,-0.230,-0.082
2015-07-15,-0.192,-0.144,-0.241,-0.192,-0.044
2015-08-15,-0.103,-0.062,-0.145,-0.103,0.045
2015-09-15,-0.044,-0.01,-0.081,-0.045,0.103
2015-10-15,0.068,0.105,0.091,0.088,0.236
2015-11-15,-0.063,-0.039,-0.06,-0.054,0.094
2015-12-15,-0.106,-0.072,-0.098,-0.092,0.056
2016-01-15,-0.138,-0.075,-0.125,-0.113,0.035
2016-02-15,-0.183,-0.133,-0.18,-0.165,-0.017
2016-03-15,-0.224,-0.207,-0.229,-0.220,-0.072
2016-04-15,-0.17,-0.141,-0.162,-0.158,-0.010
2016-05-15,-0.175,-0.134,-0.186,-0.165,-0.017
2016-06-15,-0.23,-0.192,-0.212,-0.211,-0.063
2016-07-15,-0.221,-0.193,-0.238,-0.217,-0.069
2016-08-15,-0.15,-0.133,-0.175,-0.153,-0.005
2016-09-15,-0.138,-0.105,-0.153,-0.132,0.016
2016-10-15,0.01,0.037,0.052,0.033,0.181
2016-11-15,-0.036,-0.01,-0.03,-0.025,0.123
2016-12-15,-0.177,-0.162,-0.19,-0.176,-0.028
2017-01-15,-0.207,-0.165,-0.221,-0.198,-0.050
2017-02-15,-0.276,-0.239,-0.271,-0.262,-0.114
2017-03-15,-0.243,-0.234,-0.26,-0.246,-0.098
2017-04-15,-0.154,-0.155,-0.143,-0.151,-0.003
2017-05-15,-0.208,-0.204,-0.238,-0.217,-0.069
2017-06-15,-0.166,-0.173,-0.189,-0.176,-0.028
2017-07-15,-0.151,-0.134,-0.164,-0.150,-0.002
2017-08-15,-0.179,-0.15,-0.189,-0.173,-0.025
2017-09-15,-0.044,-0.012,0.006,-0.017,0.131
2017-10-15,0.005,0.031,0.009,0.015,0.163
